"","S","R","stock","region","t"
"1",15000,21800,1,1,7
"2",1700,17700,1,1,8
"3",26500,26500,1,1,9
"4",11100,18900,1,1,10
"5",1200,1200,1,1,11
"6",23000,33000,1,1,12
"7",37300,37300,1,1,13
"8",90400,558200,1,1,14
"9",94000,391900,1,1,15
"10",51700,56800,1,1,16
"11",33000,42800,1,1,17
"12",12900,22800,1,1,18
"13",28500,58700,1,1,19
"14",22200,22300,1,1,20
"15",50000,58300,1,1,21
"16",94700,282800,1,1,22
"17",216600,219800,1,1,23
"18",902400,2417000,2,1,7
"19",627400,847700,2,1,8
"20",528100,1391400,2,1,9
"21",1007900,2386270,2,1,10
"22",81800,135110,2,1,11
"23",238600,334130,2,1,12
"24",1084000,3119810,2,1,13
"25",1966300,6134150,2,1,14
"26",1410400,5142530,2,1,15
"27",1533200,5638130,2,1,16
"28",2526700,8519350,2,1,17
"29",1185500,4252060,2,1,18
"30",1636500,6336990,2,1,19
"31",1018200,2756940,2,1,20
"32",1781000,6641630,2,1,21
"33",1700530,4850290,2,1,22
"34",2668950,4182900,2,1,23
"35",534000,1724700,3,1,7
"36",92000,160500,3,1,8
"37",295200,573000,3,1,9
"38",291000,543030,3,1,10
"39",29600,36560,3,1,11
"40",45800,50450,3,1,12
"41",372400,679190,3,1,13
"42",892400,2224730,3,1,14
"43",1231200,3834230,3,1,15
"44",759800,1670930,3,1,16
"45",1824900,5961140,3,1,17
"46",531200,1204070,3,1,18
"47",1203100,3367210,3,1,19
"48",580200,1187500,3,1,20
"49",1053400,5310250,3,1,21
"50",1371200,4872630,3,1,22
"51",978600,1285480,3,1,23
"52",328220,1020610,4,8,16
"53",232560,697890,4,8,17
"54",368490,1229150,4,8,18
"55",651850,3077850,4,8,19
"56",206390,1217390,4,8,20
"57",447940,843140,4,8,21
"58",533980,1157380,4,8,22
"59",127870,293770,4,8,23
"60",466830,986600,5,8,16
"61",313520,747320,5,8,17
"62",349070,1077130,5,8,18
"63",260400,646400,5,8,19
"64",89010,234010,5,8,20
"65",183120,242220,5,8,21
"66",545910,1666710,5,8,22
"67",490460,1043860,5,8,23
"68",35000,60050,6,2,1
"69",6000,15490,6,2,2
"70",35030,60270,6,2,3
"71",3500,58280,6,2,4
"72",3500,32500,6,2,5
"73",35000,178060,6,2,6
"74",1500,62420,6,2,7
"75",7500,45220,6,2,8
"76",15030,99630,6,2,9
"77",15000,72550,6,2,10
"78",2530,12940,6,2,11
"79",9000,32200,6,2,12
"80",22100,33060,6,2,13
"81",19000,35490,6,2,14
"82",2500,3260,6,2,15
"83",9030,12410,6,2,16
"84",3520,3990,6,2,17
"85",26570,34890,6,2,18
"86",18110,38630,6,2,19
"87",41070,45460,6,2,20
"88",2100,51700,6,2,21
"89",2030,11910,6,2,22
"90",715050,1308890,7,3,1
"91",406000,760820,7,3,2
"92",261600,415470,7,3,3
"93",312900,737240,7,3,4
"94",370700,566680,7,3,5
"95",677450,1521050,7,3,6
"96",138800,176450,7,3,7
"97",509380,784770,7,3,8
"98",769340,1253940,7,3,9
"99",808360,1385870,7,3,10
"100",766950,1143270,7,3,11
"101",423170,644730,7,3,12
"102",615100,2233200,7,3,13
"103",528390,774890,7,3,14
"104",305170,306180,7,3,15
"105",164200,164300,7,3,16
"106",191850,235480,7,3,17
"107",703760,1056910,7,3,18
"108",572300,710550,7,3,19
"109",876180,1211590,7,3,20
"110",654260,677870,7,3,21
"111",501810,586620,7,3,22
"112",480550,1857250,8,3,1
"113",210900,790780,8,3,2
"114",537030,2268590,8,3,3
"115",416080,1494360,8,3,4
"116",568180,1364350,8,3,5
"117",2822730,6628070,8,3,6
"118",1509230,2938380,8,3,7
"119",1139500,4485550,8,3,8
"120",1182300,4249940,8,3,9
"121",753700,3544640,8,3,10
"122",1023900,6112820,8,3,11
"123",400930,926590,8,3,12
"124",1021290,1508330,8,3,13
"125",853860,3581340,8,3,14
"126",740110,3615580,8,3,15
"127",403270,984040,8,3,16
"128",638850,1240060,8,3,17
"129",1429760,6073830,8,3,18
"130",1448580,9159520,8,3,19
"131",954620,2854810,8,3,20
"132",700800,1247840,8,3,21
"133",237020,353500,8,3,22
"134",545290,1184320,9,2,1
"135",351380,1202640,9,2,2
"136",781080,1810230,9,2,3
"137",283410,1085040,9,2,4
"138",1571370,3052160,9,2,5
"139",3910090,16054130,9,2,6
"140",763130,3594020,9,2,7
"141",939850,3059850,9,2,8
"142",2095000,7445620,9,2,9
"143",731100,2743460,9,2,10
"144",1356100,2440870,9,2,11
"145",1469900,4235820,9,2,12
"146",1382200,3289430,9,2,13
"147",2293480,4053950,9,2,14
"148",1127730,2011080,9,2,15
"149",195590,234530,9,2,16
"150",967210,1138270,9,2,17
"151",3271540,6692270,9,2,18
"152",5204570,13911810,9,2,19
"153",2759840,6394900,9,2,20
"154",4614400,7322760,9,2,21
"155",367790,929660,9,2,22
"156",1844350,2210850,9,2,23
"157",44750,201300,10,2,1
"158",5950,47740,10,2,2
"159",52700,146840,10,2,3
"160",24130,172410,10,2,4
"161",5850,113770,10,2,5
"162",121930,779730,10,2,6
"163",68850,276440,10,2,7
"164",118650,375250,10,2,8
"165",111050,1559610,10,2,9
"166",144180,329880,10,2,10
"167",502400,1312600,10,2,11
"168",214850,574490,10,2,12
"169",259600,843770,10,2,13
"170",109650,482830,10,2,14
"171",135800,146710,10,2,15
"172",1e+05,101950,10,2,16
"173",138100,217840,10,2,17
"174",289820,440590,10,2,18
"175",242150,390930,10,2,19
"176",257200,410560,10,2,20
"177",158590,291530,10,2,21
"178",97550,116530,10,2,22
"179",333200,333200,10,2,23
"180",20000,143600,11,6,7
"181",71300,89600,11,6,8
"182",81400,311600,11,6,9
"183",43600,89900,11,6,10
"184",5800,37400,11,6,11
"185",4000,37500,11,6,12
"186",12300,121100,11,6,13
"187",10700,147800,11,6,14
"188",3000,183900,11,6,15
"189",2400,85400,11,6,16
"190",123200,288400,11,6,17
"191",6000,100500,11,6,20
"192",55800,234000,11,6,21
"193",75800,135200,11,6,22
"194",131100,203000,12,6,7
"195",62600,80000,12,6,8
"196",66100,111500,12,6,9
"197",60700,88600,12,6,10
"198",3100,3900,12,6,11
"199",9800,31900,12,6,12
"200",66000,82600,12,6,13
"201",101200,162400,12,6,14
"202",99400,208100,12,6,15
"203",26100,106700,12,6,16
"204",94000,141300,12,6,17
"205",121900,166000,12,6,18
"206",216400,534800,12,6,19
"207",131900,365600,12,6,20
"208",223800,429500,12,6,21
"209",178900,278000,12,6,22
"210",605700,1857200,13,6,7
"211",302200,688400,13,6,8
"212",390300,913700,13,6,9
"213",201700,470600,13,6,10
"214",15900,28800,13,6,11
"215",76200,76800,13,6,12
"216",228800,257600,13,6,13
"217",309300,396100,13,6,14
"218",425500,898000,13,6,15
"219",301500,390600,13,6,16
"220",486500,544200,13,6,17
"221",580700,630300,13,6,18
"222",1005400,2011800,13,6,19
"223",811400,852000,13,6,20
"224",1318000,1501200,13,6,21
"225",863300,876300,13,6,22
"226",165000,277900,14,6,7
"227",179300,352500,14,6,8
"228",151300,446900,14,6,9
"229",202000,644700,14,6,10
"230",8600,23500,14,6,11
"231",77400,90800,14,6,12
"232",114200,250000,14,6,13
"233",333400,752700,14,6,14
"234",139500,356000,14,6,15
"235",45900,648300,14,6,16
"236",188000,361800,14,6,17
"237",43800,244600,14,6,18
"238",232400,1373800,14,6,19
"239",44300,180100,14,6,20
"240",38800,667700,14,6,21
"241",111600,286200,14,6,22
"242",287000,1819000,15,7,6
"243",155400,870600,15,7,7
"244",110000,417000,15,7,8
"245",86100,165300,15,7,9
"246",90100,461200,15,7,10
"247",21400,21400,15,7,11
"248",3700,4500,15,7,12
"249",15800,15800,15,7,13
"250",65200,128500,15,7,14
"251",86600,223100,15,7,15
"252",52600,109200,15,7,16
"253",102300,186900,15,7,17
"254",86400,390400,15,7,18
"255",50300,56200,15,7,19
"256",127100,318300,15,7,20
"257",61200,61300,15,7,21
"258",72000,73600,15,7,22
"259",164400,164400,15,7,23
"260",156000,390800,16,7,6
"261",94500,223800,16,7,7
"262",140000,213800,16,7,8
"263",102300,151500,16,7,9
"264",94800,218600,16,7,10
"265",22000,25000,16,7,11
"266",33900,75200,16,7,12
"267",59300,69500,16,7,13
"268",77400,133500,16,7,14
"269",170100,330900,16,7,15
"270",99200,209800,16,7,16
"271",109300,173000,16,7,17
"272",95400,223700,16,7,18
"273",46200,62400,16,7,19
"274",74900,78500,16,7,20
"275",35000,36900,16,7,21
"276",46100,51500,16,7,22
"277",33800,37900,16,7,23
"278",271250,292020,19,9,10
"279",39600,47900,19,9,11
"280",25350,54660,19,9,12
"281",28590,54640,19,9,13
"282",423160,497670,19,9,14
"283",110780,132280,19,9,15
"284",442920,487180,19,9,16
"285",318940,407530,19,9,17
"286",6000,6040,21,14,12
"287",14020,33190,21,14,13
"288",15000,30500,21,14,14
"289",30000,126110,21,14,15
"290",26100,27420,21,14,16
"291",48000,48610,21,14,17
"292",30700,31260,21,14,18
"293",30000,126580,21,14,19
"294",41400,42970,21,14,20
"295",13500,15330,21,14,21
"296",300330,1220630,22,4,3
"297",386000,1752570,22,4,4
"298",165100,509320,22,4,5
"299",480900,1232090,22,4,6
"300",477000,1330970,22,4,7
"301",779930,4218870,22,4,8
"302",878430,4582910,22,4,9
"303",675080,3016740,22,4,10
"304",563770,1293570,22,4,11
"305",918390,2468750,22,4,12
"306",1432700,5210740,22,4,13
"307",926980,2208820,22,4,14
"308",1248980,2382830,22,4,15
"309",504400,689540,22,4,16
"310",284620,501100,22,4,17
"311",1176890,1678150,22,4,18
"312",1762710,2610390,22,4,19
"313",3299770,7176670,22,4,20
"314",2206500,3318260,22,4,21
"315",1231720,1439660,22,4,22
"316",30000,333200,23,7,6
"317",20000,33500,23,7,7
"318",20000,33900,23,7,8
"319",5700,5700,23,7,11
"320",800,800,23,7,12
"321",15000,15000,23,7,13
"322",34100,34200,23,7,14
"323",407500,508100,23,7,15
"324",90500,124000,23,7,16
"325",128800,262500,23,7,17
"326",1337000,1757800,23,7,18
"327",64000,118900,23,7,19
"328",22800,23500,23,7,20
"329",11100,13000,23,7,21
"330",10400,10400,23,7,22
"331",32800,32800,23,7,23
"332",588900,1416480,24,8,16
"333",581120,979990,24,8,17
"334",707220,1309340,24,8,18
"335",856700,3730700,24,8,19
"336",498440,911440,24,8,20
"337",557940,1117440,24,8,21
"338",994650,1852850,24,8,22
"339",344980,392480,24,8,23
"340",524500,1106380,25,8,16
"341",494780,839520,25,8,17
"342",592710,1398890,25,8,18
"343",901000,2649000,25,8,19
"344",649510,1525510,25,8,20
"345",419060,608660,25,8,21
"346",344930,538730,25,8,22
"347",430450,480250,25,8,23
"348",3461810,8739940,26,8,16
"349",2897970,11828660,26,8,17
"350",2090570,10255650,26,8,18
"351",1736500,8257500,26,8,19
"352",4581560,7581560,26,8,20
"353",1907570,3308870,26,8,21
"354",1574560,4889560,26,8,22
"355",1957240,3648340,26,8,23
"356",11750,11750,27,10,12
"357",13790,13790,27,10,13
"358",56690,56690,27,10,14
"359",118400,119350,27,10,15
"360",132380,138820,27,10,16
"361",191810,203400,27,10,17
"362",44680,44680,27,10,18
"363",67990,67990,27,10,19
"364",113570,124230,27,10,20
"365",47160,47160,27,10,21
"366",60080,60080,27,10,22
"367",92970,92970,27,10,23
"368",371720,390270,28,9,10
"369",83560,91390,28,9,11
"370",58760,74630,28,9,12
"371",35570,50150,28,9,13
"372",73760,125130,28,9,14
"373",984330,994320,28,9,15
"374",523280,542050,28,9,16
"375",830140,859340,28,9,17
"376",277130,292960,28,9,18
"377",302350,317810,28,9,19
"378",590850,591350,28,9,20
"379",397800,430050,29,9,15
"380",639670,677380,29,9,16
"381",2388210,2405390,29,9,17
"382",60470,69190,29,9,18
"383",8190,10530,29,9,19
